titles,links,time,media
馬 英 九 批 民 進 黨 政 府 　 貪 污 「 歷 史 上 罕 見 」,https://tw.appledaily.com/politics/realtime/20120113/105668/,2012/1/13,Apple Daily
黃 俊 雄 攜 史 艷 文 ： 選 馬 英 九 當 「 天 下 領 導 者 」,https://tw.appledaily.com/politics/realtime/20120113/105652/,2012/1/13,Apple Daily
選 前 之 夜 　 馬 英 九 喊 經 濟 　 蔡 英 文 提 輪 替,https://tw.appledaily.com/politics/realtime/20120113/105641/,2012/1/13,Apple Daily
台 灣 投 票 選 總 統 　 中 國 網 友 羨 慕,https://tw.appledaily.com/international/realtime/20120113/105644/,2012/1/13,Apple Daily
連 戰 「 失 聲 」 喊 話 　 為 馬 英 九 衝 刺,https://tw.appledaily.com/politics/realtime/20120113/105640/,2012/1/13,Apple Daily
若 蔡 英 文 落 選 　 王 世 堅 : 我 去 高 空 彈 跳,https://tw.appledaily.com/politics/realtime/20120113/105639/,2012/1/13,Apple Daily
郝 龍 斌 批 綠 不 合 作 　 「 花 博 」 差 點 辦 不 成,https://tw.appledaily.com/politics/realtime/20120113/105636/,2012/1/13,Apple Daily
蘇 嘉 全 痛 批 馬 英 九 ： 操 作 國 家 機 器,https://tw.appledaily.com/politics/realtime/20120113/105635/,2012/1/13,Apple Daily
馬 英 九 高 雄 呼 籲 　 「 泛 藍 大 團 結 ， 共 創 新 紀 元 」,https://tw.appledaily.com/politics/realtime/20120113/105632/,2012/1/13,Apple Daily
蘇 貞 昌 桃 園 批 馬 英 九 ： 執 政 不 佳 應 下 台,https://tw.appledaily.com/politics/realtime/20120113/105630/,2012/1/13,Apple Daily
決 戰 中 台 灣 選 前 之 夜 　 蕭 萬 長 全 力 催 票,https://tw.news.appledaily.com/politics/realtime/20120113/105628/,2012/1/13,Apple Daily
日 媒 ： 蔡 英 文 、 馬 英 九 伯 仲 之 間,https://tw.news.appledaily.com/international/realtime/20120113/105625/,2012/1/13,Apple Daily
郭 台 銘 包 機 觸 礁 　 買 百 張 機 票 促 員 工 投 票,https://tw.news.appledaily.com/politics/realtime/20120113/105626/,2012/1/13,Apple Daily
砰 砰 阿 峰 另 類 反 諷 簡 訊 ： 請 含 淚 投 馬 英 九,https://tw.news.appledaily.com/politics/realtime/20120113/105590/,2012/1/13,Apple Daily
力 挺 9 2 共 識 　 企 業 巨 頭 紛 表 態,https://tw.finance.appledaily.com/realtime/20120113/105575/,2012/1/13,Apple Daily
馬 英 九 周 美 青 合 體 　 北 中 南 催 票,https://tw.news.appledaily.com/politics/realtime/20120113/105574/,2012/1/13,Apple Daily
紐 時 ： 選 票 決 定 台 灣 核 能 命 運,https://tw.news.appledaily.com/international/realtime/20120113/105572/,2012/1/13,Apple Daily
李 登 輝 今 晚 現 身 挺 蔡 　 P K 夫 人 牌 周 美 青,https://tw.news.appledaily.com/politics/realtime/20120113/105571/,2012/1/13,Apple Daily
選 前 表 態 　 王 雪 紅 支 持 9 2 共 識,https://tw.finance.appledaily.com/realtime/20120113/105566/,2012/1/13,Apple Daily
彭 博 社 看 台 灣 選 舉 　 小 豬 威 力 V S . 財 團 經 濟,https://tw.news.appledaily.com/international/realtime/20120113/105554/,2012/1/13,Apple Daily
見 馬 太 興 奮 　 女 子 哭 到 滿 臉 紅,https://tw.news.appledaily.com/politics/realtime/20120113/105551/,2012/1/13,Apple Daily
B B C ： 兩 岸 問 題 　 總 統 大 選 決 勝 負,https://tw.news.appledaily.com/international/realtime/20120113/105547/,2012/1/13,Apple Daily
